angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Bmag,Vmag,SpType,ASCC,Seq,Pkin,Pph,Psp
0.104077,307.4646527721116,41.8462908386438,0.001,0.001,90,2068056169258812416,307.46471166008,0.0204,41.84630885245,0.0251,1.4705,0.0285,10.189,0.046,4.184,0.046,0,567969.0,227.413,11.302553,314640.0,245.578,11.606853,364808.0,235.012,10.85676,0.750093,-23.91,0.39,8,5938.5,1.4478,0.7177,3.03,10.286,307.464618,41.846278,307.46458323,41.84627158,12.474,11.803,,434432,490,0.0,0.0,0
0.102867,307.4725302603569,41.7355595244366,0.001,0.001,0,2068050465541941120,307.47255928379,0.0202,41.73554834664,0.023,1.1795,0.0273,5.03,0.042,-2.596,0.043,0,206589.0,31.391,12.400599,106425.0,92.5318,12.783783,143987.0,80.178,11.86611,0.917673,,,0,5453.33,,,2.75,6.026,307.472528,41.735531,307.47251023,41.73554178,13.172,12.864,,434436,490,0.0,0.0,0
0.007886,307.4757078139389,41.3873685845932,0.001,0.001,0,2068008821538719744,307.47557254267,0.0175,41.3872327007,0.0223,2.2792,0.0229,-23.571,0.037,-31.56,0.044,0,483244.0,206.878,11.47795,274502.0,291.392,11.755025,302854.0,205.141,11.058838,0.696187,7.53,1.55,8,6239.67,0.8233,0.3663,1.63,3.61,307.475705,41.387368,307.47577815,41.38744613,12.045,11.961,,434439,490,0.0,0.0,0
0.02127,307.4839180190787,41.6325291408685,0.001,0.001,90,2068037752438731264,307.48392560052,0.0287,41.63253655173,0.0311,3.8543,0.037,1.316,0.063,1.721,0.06,0,12142800.0,4448.44,7.977572,5504740.0,10035.0,8.499546,9206310.0,16953.8,7.351706,1.14784,-6.44,0.15,11,4941.5,,,8.2,36.115,307.483917,41.632535,307.48391148,41.63252536,9.229,8.234,K 0 II,434442,490,0.0,0.0,0
0.099282,307.4844277093261,41.0820879953986,0.001,0.001,0,2067810286672283392,307.48442770933,0.9552,41.0820879954,1.1273,,,,,,,1,2008170.0,4793.53,9.931364,1303950.0,1120.82,10.063232,1078270.0,1723.92,9.680101,0.383131,-13.66,1.75,4,8023.75,,,,,307.484392,41.082094,307.4843733,41.08208845,10.312,10.025,,434444,490,0.0,0.0,0
0.070219,307.4858558683981,41.1553124831631,0.001,0.001,0,2067810802068357888,307.48584285655,0.0178,41.15529513811,0.0223,2.027,0.0231,-2.275,0.036,-4.029,0.042,0,295075.0,41.5451,12.013533,172347.0,216.672,12.260376,182596.0,337.332,11.608193,0.652183,-20.79,2.59,7,6603.5,0.2055,0.089,1.27,2.777,307.485836,41.155325,307.48585692,41.15532945,12.907,12.378,,434445,490,0.0,0.0,0
0.010391,307.4872907789905,41.4223095595779,0.001,0.001,0,2068009165136109184,307.48732362215,0.0331,41.42231995263,0.0426,2.9412,0.0431,5.72,0.071,2.414,0.083,1,2657340.0,611.165,9.627247,1835440.0,1947.95,9.692037,1225870.0,1154.49,9.540811,0.151226,,,0,8541.33,0.1472,0.0807,,,307.487289,41.422307,307.48727181,41.42230256,9.745,9.644,A2,434448,490,0.0,0.0,0
0.023757,307.4920542126188,41.7203321834426,0.001,0.001,0,2068050396822459904,307.49200275834,0.0218,41.72030678953,0.0252,1.4,0.0296,-8.92,0.045,-5.898,0.049,0,2274930.0,535.246,9.795947,981251.0,763.472,10.371938,1815310.0,1978.9,9.114545,1.257393,-21.23,0.38,8,4784.61,0.0522,0.0273,10.64,53.407,307.492047,41.720336,307.49208097,41.72035097,11.126,10.067,K0,434450,490,0.0,0.0,0
0.057342,307.4933671500949,41.4958735981288,0.001,0.001,0,2068012704189179520,307.49334318883,0.0219,41.49583129436,0.026,0.8694,0.0283,-4.168,0.047,-9.825,0.05,0,1052290.0,430.644,10.633023,298289.0,316.967,11.664796,1103380.0,741.363,9.655103,2.009693,-30.32,0.2,9,3732.39,1.132,0.544,25.07,109.866,307.493382,41.495885,307.49339186,41.49590956,13.164,11.512,,434451,490,0.0,0.0,0
0.009971,307.5026000141925,41.8122886199958,0.002,0.001,0,2068052939443400064,307.50264839082,0.0319,41.81229460791,0.0535,1.3982,0.0501,8.374,0.074,1.391,0.148,0,915187.0,584.858,10.784591,634933.0,6276.31,10.844568,485895.0,9115.43,10.545565,0.299004,,,0,8700.5,,,,,307.502597,41.812287,307.50256109,41.81228457,10.515,10.327,,434456,490,0.0,0.0,0
0.086018,307.5028896761072,41.5146731062277,0.001,0.001,0,2068012807268395904,307.50287548471,0.0225,41.51466403693,0.0277,1.0023,0.0295,-2.468,0.046,-2.106,0.056,0,590082.0,280.884,11.261085,350038.0,466.087,11.491101,349080.0,391.26,10.904609,0.586493,,,0,6796.17,,,3.44,22.738,307.502862,41.514685,307.50286118,41.51468898,11.623,11.487,,434457,490,0.0,0.0,0
0.042447,307.5035399102175,41.8123512954893,0.001,0.001,0,2068052939443400192,307.50358585773,0.0279,41.81235893725,0.0387,1.65,0.0418,7.954,0.062,1.775,0.081,0,1580790.0,627.505,10.191183,1092820.0,4033.18,10.25502,788344.0,6921.82,10.020131,0.234889,,,0,9003.0,0.6687,0.334,,,307.503538,41.812363,307.50350138,41.81236068,10.174,9.911,,434458,490,0.0,0.0,0
0.116167,307.5079873606505,41.4725728475944,0.036,0.034,0,2068009680532192256,307.50793732809,1.0869,41.47247831091,1.1806,9.5134,1.2852,-8.707,2.215,-21.957,2.335,1,370635.0,145.815,11.765999,213485.0,381.343,12.027971,231863.0,251.672,11.34884,0.679132,-8.41,3.41,11,6479.67,0.111,0.051,,,307.508,41.472542,307.50804024,41.47258852,12.303,11.807,,434462,490,0.0,0.0,0
