angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,[MT91],SpType,RAJ2000,DEJ2000,AV,Vmag,(B-V),DM,PAct,RV,MT91
0.333642,307.9234568507777,41.4724766120916,0.006,0.005,90,2067848219824399616,307.92344192005,0.1578,41.47245816525,0.2102,1.2778,0.2249,-2.598,0.357,-4.284,0.348,1,5.87017e+04,4.13643e+01,13.766740,1.92215e+04,5.75993e+01,14.641921,6.02420e+04,1.13703e+02,12.812171,1.829750,,,0,3932.25,,,,,307.9233333,41.4724722,129,B3V,20 31 41.60,+41 28 20.9,4.6,14.4,1.34,11.7,,V,MT91
0.147247,307.9391685332487,41.3074198316111,0.002,0.002,90,2067828639068547200,307.93915208187,0.0578,41.30740169399,0.0596,0.4530,0.0729,-2.870,0.131,-4.213,0.113,0,6.51521e+05,9.55123e+02,11.153544,1.43242e+05,6.36522e+02,12.461209,8.19386e+05,3.29040e+03,9.978198,2.483011,,,0,3739.42,,,37.62,249.320,307.939125,41.3074444,138,O8I,20 31 45.39,+41 18 26.8,6.9,12.26,1.99,11.6,,V,MT91
0.303308,307.9569068941730,41.4740303079572,0.001,0.001,90,2067847502568383744,307.95688909863,0.0230,41.47401231958,0.0249,0.5949,0.0318,-3.097,0.051,-4.178,0.041,0,7.13054e+05,3.38655e+02,11.055559,2.73380e+05,4.30230e+02,11.759472,6.43066e+05,6.27394e+02,10.241282,1.518190,,,0,4442.62,0.3420,0.1590,17.26,104.599,307.956875,41.4741111,145,O9III,20 31 49.65,+41 28 26.8,4.1,11.52,1.11,12.6,,V,MT91
0.244210,307.9842915242628,41.5866821638814,0.001,0.001,90,2067849220555467264,307.98429070798,0.0308,41.58666852838,0.0400,0.9318,0.0454,-0.142,0.071,-3.167,0.062,0,9.98169e+03,4.38916e+00,15.690355,3.97044e+03,4.06908e+01,16.354290,9.12404e+03,5.39859e+01,14.861452,1.492838,,,0,4419.00,,,1.32,0.603,307.9842917,41.58675,170,B5:V,20 31 56.23,+41 35 12.3,3.6,15.21,1.05,11.6,,,MT91
0.570339,307.9872759968993,41.5299345026646,0.001,0.001,90,2067848048024783360,307.98726342946,0.0252,41.52991997958,0.0273,0.6053,0.0347,-2.185,0.054,-3.373,0.049,0,2.99370e+05,8.28336e+01,11.997847,1.07456e+05,1.68086e+02,12.773314,2.87096e+05,3.41197e+02,11.116853,1.656461,,,0,4298.67,0.8362,0.4050,12.14,45.335,307.9870833,41.53,174,B2IV,20 31 56.90,+41 31 48.0,4.3,12.55,1.21,11.3,,V,MT91
0.548396,308.0156946515813,41.4195669921663,0.001,0.001,0,2067835438000806016,308.01567930634,0.0192,41.41954903491,0.0236,0.5851,0.0268,-2.673,0.042,-4.171,0.043,0,1.96326e+05,8.72930e+02,12.455923,5.75801e+04,5.32415e+02,13.450708,2.03965e+05,1.86470e+03,11.488033,1.962675,,,0,4164.55,1.6740,0.8220,11.23,34.189,308.0155833,41.4196944,187,B1V,20 32 03.74,+41 25 10.9,5.3,13.24,1.52,11.1,,V,MT91
0.919322,308.0193648651335,41.4634189768908,0.001,0.001,90,2067835923336537216,308.01935330375,0.0169,41.46340125605,0.0207,0.5222,0.0261,-2.012,0.037,-4.116,0.034,0,4.10021e+04,1.86038e+01,14.156351,1.43000e+04,3.86301e+01,14.963050,4.00738e+04,4.64739e+01,13.254768,1.708282,,,0,4119.11,,,5.96,9.204,308.0190417,41.4635,189,B6:V,20 32 04.57,+41 27 48.6,3.9,14.77,1.17,10.8,,V,MT91
0.836258,308.0200190662392,41.4789123692304,0.000,0.000,90,2067847708726800896,308.02000429566,0.0134,41.47889432256,0.0153,0.5314,0.0193,-2.570,0.029,-4.191,0.027,0,8.86197e+04,1.52059e+01,13.319540,3.43216e+04,5.57415e+01,14.012469,8.06989e+04,6.74541e+01,12.494751,1.517718,,,0,4342.00,,,7.30,17.050,308.01975,41.4790278,191,B3IV,20 32 04.74,+41 28 44.5,3.6,13.81,1.04,12.7,,V,MT91
0.917722,308.0235361619149,41.4636005269592,0.002,0.002,0,2067835923336536064,308.02351910209,0.0601,41.46358246642,0.0723,0.6129,0.0843,-2.969,0.134,-4.195,0.135,0,4.46427e+04,1.11742e+01,14.063990,1.37292e+04,2.70843e+01,15.007278,4.71715e+04,4.63609e+01,13.077722,1.929556,,,0,3923.57,,,6.21,8.233,308.0232917,41.4637778,196,B6V,20 32 05.59,+41 27 49.6,4.4,14.81,1.31,10.4,,V,MT91
0.309527,308.0286384589842,41.2991570161938,0.001,0.001,90,2067828020596671104,308.02862500197,0.0292,41.29913909736,0.0329,0.5758,0.0384,-2.348,0.067,-4.162,0.063,1,1.44078e+05,4.22268e+01,12.791874,2.92811e+04,1.03002e+02,14.184920,1.81390e+05,3.44751e+02,11.615386,2.569534,,,0,4078.07,2.2390,1.1260,10.46,27.281,308.0285417,41.2991111,200,B3V,20 32 06.85,+41 17 56.8,6.5,13.94,1.98,9.4,,V,MT91
0.502540,308.0332067742154,41.3666246197850,0.001,0.001,90,2067834308428808832,308.03319170384,0.0167,41.36660632292,0.0192,0.5920,0.0242,-2.627,0.035,-4.250,0.035,0,6.44640e+04,2.03647e+01,13.665072,1.99110e+04,4.70454e+01,14.603654,6.76340e+04,7.37647e+01,12.686506,1.917148,,,0,3869.00,1.6040,0.7880,8.09,13.225,308.033125,41.36675,202,B2V,20 32 07.95,+41 22 00.3,4.7,14.4,1.35,12.2,,V,MT91
0.830992,308.0546870779446,41.4567621526409,0.001,0.001,0,2067835682818358400,308.05466989702,0.0225,41.45675895768,0.0306,0.6933,0.0338,-2.991,0.048,-0.742,0.055,0,5.38141e+05,4.83122e+03,11.361126,2.04754e+05,5.99853e+03,12.073308,5.02232e+05,2.09532e+04,10.509660,1.563648,,,0,4321.18,0.8220,0.4255,13.98,61.426,308.0544583,41.4569167,213,B0V,20 32 13.07,+41 27 24.9,4.2,11.95,1.13,11.5,,V,MT91
0.876400,308.0575313314241,41.4615023334548,0.001,0.001,90,2067835781598188160,308.05751823113,0.0232,41.46148682961,0.0273,0.5359,0.0328,-2.280,0.053,-3.601,0.048,0,1.90508e+05,4.01741e+01,12.488582,6.96270e+04,1.30333e+02,13.244444,1.80318e+05,2.48644e+02,11.621823,1.622621,,,0,4292.00,0.8145,0.4028,10.99,36.931,308.0572917,41.4616667,216,B1.5V,20 32 13.75,+41 27 42.0,4.2,13.02,1.18,11.6,,V,MT91
0.908366,308.0575920060796,41.4533348907635,0.001,0.001,90,2067835682818357376,308.05757788467,0.0237,41.45331711798,0.0300,0.6700,0.0361,-2.458,0.052,-4.128,0.051,0,2.54248e+06,1.43636e+03,9.675221,9.08834e+05,1.05971e+03,10.455177,2.36171e+06,2.79050e+03,8.828856,1.626322,,,0,4253.37,0.5403,0.2545,33.03,321.600,308.057375,41.4535278,217,O7IIIf,20 32 13.77,+41 27 12.7,4.4,10.23,1.19,11.3,,V,MT91
