angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,n_Name,o,RAJ2000,DEJ2000,Bmag,Jmag,Hmag,Ksmag,SpType,r_SpType,Field,st,AV,Teff,VMAG,Mass,Age,SimbadName
0.028675,308.4092252789901,40.6851044354863,0.001,0.001,0,2064748559105788160,308.40920963434,0.0408,40.68508506537,0.0488,0.5358,0.0538,-2.755,0.087,-4.499,0.090,1,9.50759e+05,1.00571e+03,10.743190,1.16875e+05,4.75639e+02,12.682082,1.36399e+06,5.50930e+03,9.424891,3.257191,,,0,3551.54,1.3710,0.7690,45.58,297.785,308.40922083,40.68509722,J20333821+4041064,,o,20 33 38.213,+40 41 06.35,14.7,6.904,6.17,5.745,B0Ia,10,Cygnus OB2,K,7.6,25094,-6.6,36.0,4.5,2MASS J20333821+4041064
0.029842,307.9037917040149,40.9858423179295,0.002,0.002,0,2067796787591714048,307.90375353645,0.0511,40.98582911113,0.0539,0.5604,0.0654,-6.692,0.105,-3.067,0.108,0,4.61200e+05,5.33025e+02,11.528643,6.24825e+04,3.24042e+02,13.361992,6.46787e+05,1.37518e+03,10.235016,3.126976,,,0,3667.00,1.9030,1.0050,27.29,121.313,307.90379583,40.98585,J20313690+4059092,,,20 31 36.911,+40 59 09.06,15.38,7.913,7.208,6.811,O7Ib(f),10,Cygnus OB2,K,7.7,34990,-5.7,36.0,3.5,2MASS J20313690+4059092
0.067622,308.2621791785148,40.7903685440176,0.011,0.010,90,2067755379810392320,308.26218757449,0.3316,40.79034151747,0.3144,2.0509,0.3651,1.476,0.729,-6.277,0.638,0,8.72909e+05,9.43433e+02,10.835944,1.16506e+05,2.84714e+02,12.685518,1.20754e+06,2.00535e+03,9.557167,3.128351,144.38,14.19,8,3399.65,2.8142,1.4232,13.23,21.074,308.2622,40.79035833,J20330292+4047254,,,20 33 02.928,+40 47 25.29,14.4,7.251,6.632,6.274,O8II((f)),9,Cygnus OB2,K,7.0,33570,-6.15,43.9,3.2,2MASS J20330292+4047254
0.016620,307.6654163587480,41.1468857313167,0.001,0.001,0,2067813005390784896,307.66539966617,0.0293,41.14686966082,0.0368,0.7494,0.0397,-2.919,0.063,-3.733,0.080,0,1.73454e+06,2.69539e+03,10.090404,3.36886e+05,1.34198e+03,11.532681,2.12845e+06,8.13449e+03,8.941764,2.590917,,,0,3572.05,1.5800,0.7867,43.18,273.471,307.66542083,41.14688889,J20303970+4108489,,,20 30 39.701,+41 08 48.80,12.429,6.928,6.328,5.98,B0.7Ib,9,Cygnus OB2,K,6.2,21514,-6.11,23.0,6.9,2MASS J20303970+4108489
0.018707,308.1139191596379,40.9217348134810,0.001,0.001,0,2067769265443613568,308.11391943387,0.0275,40.92172185719,0.0306,0.7114,0.0343,0.048,0.054,-3.009,0.058,0,5.10118e+05,6.83902e+02,11.419189,1.19961e+05,4.32399e+02,12.653792,5.92233e+05,1.53776e+03,10.330688,2.323104,,,0,4012.26,1.6287,0.8138,16.82,66.033,308.1139125,40.92173611,J20322734+4055184,,,20 32 27.339,+40 55 18.25,13.95,8.622,8.156,7.879,B2V,9,Cygnus OB2,K,5.1,22608,-4.15,12.1,15.5,2MASS J20322734+4055184
0.019694,307.6137572300627,41.2236466246055,0.002,0.001,0,2067818533010251776,307.61373928631,0.0445,41.22362784180,0.0524,0.5724,0.0545,-3.135,0.092,-4.362,0.101,0,5.01109e+05,5.28905e+03,11.438535,7.21869e+04,2.44523e+03,13.205243,7.09259e+05,2.22790e+04,10.134907,3.070336,,,0,4437.26,2.0690,1.0680,15.09,79.568,307.61375,41.22364722,V1827 Cyg,,,20 30 27.300,+41 13 25.13,14.74,7.63,6.85,6.445,Ofpe,10,Cygnus OB2,K,8.2,38612,-6.13,57.0,2.2,2MASS J20302730+4113253
0.015051,308.1452750372622,40.9381500636949,0.001,0.001,0,2067769609040987648,308.14525958352,0.0245,40.93812863336,0.0275,0.5510,0.0310,-2.711,0.047,-4.977,0.050,0,2.16046e+05,7.36390e+01,12.352001,4.63112e+04,1.21617e+02,13.687174,2.64697e+05,3.31446e+02,11.205048,2.482126,,,0,3522.75,2.1605,1.0350,21.71,65.412,308.14527083,40.93815278,J20323486+4056174,,,20 32 34.865,+40 56 17.35,14.93,9.382,8.858,8.564,O8V,10,Cygnus OB2,K,6.0,34877,-3.75,20.4,0.8,2MASS J20323486+4056174
0.038879,307.7405154021180,41.1659780347623,0.025,0.022,0,2067814306761678336,307.74050978367,0.6694,41.16595828905,0.8039,4.8148,0.8134,-0.982,1.434,-4.586,1.614,1,2.43242e+05,1.42288e+02,12.223269,5.20363e+04,1.16096e+02,13.560621,3.05218e+05,3.38322e+02,11.050394,2.510227,,,0,3681.00,2.7410,1.3705,2.28,0.858,307.74052917,41.165975,J20305772+4109575,,o,20 30 57.727,+41 09 57.51,14.61,9.093,8.514,8.198,O9.5V,10,Cygnus OB2,K,6.5,31884,-4.16,19.4,4.9,2MASS J20305772+4109575
0.021247,308.7335732266156,40.6383167248841,0.001,0.001,0,2064739041458261120,308.73355834054,0.0271,40.63829811921,0.0329,0.6381,0.0360,-2.624,0.057,-4.321,0.069,0,9.66132e+05,7.24158e+02,10.725775,1.83886e+05,4.15001e+02,12.190015,1.21403e+06,1.56824e+03,9.551346,2.638669,,,0,3987.56,1.7863,0.8910,26.29,157.429,308.73357083,40.63831111,J20345606+4038179,,,20 34 56.057,+40 38 17.92,13.54,7.44,6.859,6.545,O9.7Iab,9,Cygnus OB2,K,6.3,28315,-5.73,29.1,4.9,2MASS J20345605+4038180
0.019758,307.8420838424766,41.2008019686769,0.001,0.001,0,2067826332670106112,307.84206406147,0.0186,41.20078272722,0.0229,0.6151,0.0254,-3.457,0.040,-4.469,0.044,0,2.22667e+05,1.25316e+02,12.319223,5.36749e+04,1.38720e+02,13.526959,2.62666e+05,4.12898e+02,11.213408,2.313551,,,0,4137.32,1.8363,0.8885,11.62,35.642,307.8420875,41.20079722,J20312210+4112029,,o,20 31 22.101,+41 12 02.87,14.42,9.397,8.928,8.629,B2V,10,Cygnus OB2,K,5.2,22608,-3.42,11.1,15.5,2MASS J20312210+4112029
