angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,SpType,Schulte,[MT91],ONames,AV,logL,logT,l_M1,M1,Age1,Umag,Bmag,Vmag,Jmag,Hmag,Kmag,SimbadName
0.118512,307.9062729233805,41.2224997565404,0.001,0.001,90,2067826062091598976,307.90625934801,0.0278,41.22248322073,0.0308,0.6834,0.0360,-2.372,0.059,-3.841,0.058,0,3.28326e+06,1.09933e+04,9.397602,8.27101e+05,8.14589e+03,10.557491,3.65527e+06,3.45548e+04,8.354620,2.202871,,,0,3727.00,,,56.60,556.789,307.90625,41.2225278,20 31 37.50,+41 13 21.1,O6IV+O9III,3,,,5.84,5.54,4.59,,38.0,4.18,12.3,11.83,10.22,6.498,6.001,5.748,Schulte 3
0.704508,308.6837939488806,40.8663039536190,0.001,0.001,90,2064757698797394688,308.68378006864,0.0287,40.86628727075,0.0293,0.5678,0.0358,-2.438,0.061,-3.875,0.060,0,3.91199e+05,1.93817e+02,11.707370,7.00871e+04,1.76790e+02,13.237293,5.09502e+05,1.06190e+03,10.494055,2.743238,,,0,4039.58,2.0050,1.0240,18.04,78.068,308.68375,40.8661111,20 34 44.10,+40 51 58.0,O6.5III,,,A24,7.29,5.19,4.57,,29.6,3.41,16.2,15.3,,8.43,7.81,7.461,[CPR2002] A24
0.487561,308.4202642412898,41.5052640699323,0.001,0.001,0,2067881548771533312,308.42025169696,0.0211,41.50524711979,0.0283,0.5474,0.0295,-2.182,0.045,-3.937,0.052,0,3.17281e+05,6.90824e+01,11.934755,8.94277e+04,1.75956e+02,12.972708,3.47680e+05,2.78544e+02,10.908969,2.063739,,,0,3958.56,1.0975,0.5630,18.00,71.646,308.4203333,41.5051389,20 33 40.88,+41 30 18.5,O7V,,611,,5.54,4.66,4.57,,22.3,0.0,14.61,14.32,12.77,9.263,8.866,8.614,[MT91] 611
0.285768,308.5562956592750,41.5841272576121,0.001,0.001,0,2067887840900094848,308.55628141261,0.0245,41.58411023533,0.0289,0.5971,0.0328,-2.475,0.054,-3.954,0.057,0,6.67860e+05,5.05799e+02,11.126652,1.92406e+05,5.04716e+02,12.140840,7.13076e+05,7.54733e+02,10.129080,2.011760,,,0,4083.41,0.9705,0.4942,21.63,117.196,308.55625,41.5840556,20 34 13.50,+41 35 02.6,O7V,29,745,,5.36,4.94,4.57,,25.4,1.78,13.59,13.41,11.91,8.55,8.148,7.921,Schulte 29
0.883021,308.6233275946573,41.5293100788917,0.001,0.001,90,2067883820810670336,308.62331400732,0.0277,41.52929232162,0.0310,0.6131,0.0356,-2.362,0.063,-4.124,0.059,0,9.06305e+05,4.42273e+02,10.795179,1.69016e+05,2.08423e+02,12.281571,1.14726e+06,1.04322e+03,9.612767,2.668804,,,0,3737.87,1.7777,0.8780,32.83,189.516,308.623,41.5293056,20 34 29.52,+41 31 45.5,O7V+O9V,,771,,6.93,5.18,4.57,,29.0,3.5,14.72,14.11,12.06,7.56,7.03,6.709,[MT91] 771
0.054135,307.9983762543354,41.2473483079043,0.001,0.001,0,2067827466541470080,307.99836207094,0.0184,41.24732960767,0.0216,0.5390,0.0239,-2.477,0.039,-4.343,0.040,0,2.85166e+05,5.74515e+01,12.050622,6.35776e+04,1.75359e+02,13.343128,3.43890e+05,4.02400e+02,10.920871,2.422257,,,0,3379.00,2.1977,1.0835,29.39,101.446,307.998375,41.2473333,20 31 59.61,+41 14 50.4,O7V,,,E45,5.89,4.79,4.57,,23.3,0.17,,14.46,,9.117,8.579,8.326,2MASS J20315961+4114504
0.908366,308.0575920060796,41.4533348907635,0.001,0.001,90,2067835682818357376,308.05757788467,0.0237,41.45331711798,0.0300,0.6700,0.0361,-2.458,0.052,-4.128,0.051,0,2.54248e+06,1.43636e+03,9.675221,9.08834e+05,1.05971e+03,10.455177,2.36171e+06,2.79050e+03,8.828856,1.626322,,,0,4253.37,0.5403,0.2545,33.03,321.600,308.057375,41.4535278,20 32 13.77,+41 27 12.7,O7III,4,217,,4.39,5.2,4.56,,28.6,4.14,11.47,11.41,10.22,7.582,7.248,7.105,Schulte 4
0.087655,308.0934338990198,41.3052617729417,0.002,0.001,90,2067830941174418048,308.09341623081,0.0505,41.30524418630,0.0485,0.6376,0.0564,-3.083,0.101,-4.085,0.080,1,9.53738e+06,4.98967e+04,8.239793,2.30643e+06,4.20972e+04,9.444037,1.15211e+07,1.84606e+05,7.108184,2.335853,,,0,3728.78,,,103.22,1855.733,308.0934583,41.3052778,20 32 22.43,+41 18 19.0,O7I+O6I+O9V,5,,,6.02,6.2,4.54,,93.1,2.95,11.32,10.64,9.21,5.187,4.745,4.339,Schulte 5
0.067615,307.9037917040149,40.9858423179295,0.002,0.002,0,2067796787591714048,307.90375353645,0.0511,40.98582911113,0.0539,0.5604,0.0654,-6.692,0.105,-3.067,0.108,0,4.61200e+05,5.33025e+02,11.528643,6.24825e+04,3.24042e+02,13.361992,6.46787e+05,1.37518e+03,10.235016,3.126976,,,0,3667.00,1.9030,1.0050,27.29,121.313,307.9037917,40.9858611,20 31 36.91,+40 59 09.1,O7I,,,A15,8.26,5.42,4.54,,31.8,5.25,17.18,15.83,,7.94,7.21,6.805,[CPR2002] A15
0.129378,307.6137572300627,41.2236466246055,0.002,0.001,0,2067818533010251776,307.61373928631,0.0445,41.22362784180,0.0524,0.5724,0.0545,-3.135,0.092,-4.362,0.101,0,5.01109e+05,5.28905e+03,11.438535,7.21869e+04,2.44523e+03,13.205243,7.09259e+05,2.22790e+04,10.134907,3.070336,,,0,4437.26,2.0690,1.0680,15.09,79.568,307.61375,41.2236111,20 30 27.30,+41 13 25.0,O7I+O9I,,,B17,8.08,5.03,4.54,,24.8,4.17,16.89,15.61,,7.65,6.85,6.443,[CPR2002] B17
